,index,autosklearn,Alg. 5FULL es1 B100 N1.0,Alg. 5FULL es1 B10 N1.0,Alg. 5FULL es1 B50 N0.5,"Alg. 5
(no Line 12.) es1 B100 N1.0","Alg. 5
(no Line 12.) es1 B10 N1.0","Alg. 5
(no Line 12.) es1 B50 N0.5",Alg. 12 es1 B100 N1.0,Alg. 12 es1 B10 N1.0,Alg. 12 es1 B50 N0.5,Alg. 7 es1 B100 N1.0,Alg. 7 es1 B10 N1.0,Alg. 7 es1 B50 N0.5,Alg. 5 es1 B100 N1.0,Alg. 5 es1 B10 N1.0,Alg. 5 es1 B50 N0.5,Alg. 13 es1 B100 N1.0,Alg. 13 es1 B10 N1.0,Alg. 13 es1 B50 N0.5,Alg. 11 es1 B100 N1.0,Alg. 11 es1 B10 N1.0,Alg. 11 es1 B50 N0.5,Alg. 10 es1 B100 N1.0,Alg. 10 es1 B10 N1.0,Alg. 10 es1 B50 N0.5,Alg. 9 es1 B100 N1.0,Alg. 9 es1 B10 N1.0,Alg. 9 es1 B50 N0.5,bagging
10,Alg. 7 es1 B100 N1.0,6.0,9.0,9.0,9.0,7.0,6.0,5.0,7.0,6.0,5.0,0.0,6.0,5.0,7.0,6.0,5.0,6.0,6.0,7.0,8.0,5.0,5.0,7.0,7.0,7.0,8.0,6.0,6.0,6.0
11,Alg. 7 es1 B10 N1.0,3.0,9.0,9.0,9.0,2.0,2.0,3.0,4.0,1.0,3.0,4.0,0.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,6.0,3.0,3.0,6.0,6.0,6.0,8.0,3.0,4.0,6.0
12,Alg. 7 es1 B50 N0.5,2.0,9.0,9.0,9.0,2.0,1.0,0.0,4.0,1.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,4.0,6.0,2.0,2.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0
13,Alg. 5 es1 B100 N1.0,3.0,9.0,9.0,9.0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,2.0,3.0,4.0,4.0,4.0,6.0,3.0,2.0,6.0,6.0,6.0,7.0,4.0,4.0,6.0
14,Alg. 5 es1 B10 N1.0,3.0,9.0,9.0,9.0,2.0,0.0,3.0,4.0,0.0,3.0,4.0,0.0,3.0,2.0,0.0,3.0,4.0,4.0,4.0,6.0,3.0,3.0,6.0,6.0,6.0,8.0,3.0,4.0,6.0
15,Alg. 5 es1 B50 N0.5,2.0,9.0,9.0,9.0,2.0,1.0,0.0,4.0,1.0,0.0,5.0,1.0,0.0,2.0,1.0,0.0,2.0,4.0,4.0,6.0,2.0,2.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0
16,Alg. 13 es1 B100 N1.0,1.0,8.0,8.0,8.0,1.0,0.0,2.0,3.0,0.0,2.0,4.0,0.0,2.0,1.0,0.0,2.0,0.0,3.0,2.0,5.0,1.0,3.0,6.0,6.0,6.0,4.0,1.0,2.0,5.0
17,Alg. 13 es1 B10 N1.0,3.0,9.0,9.0,9.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,4.0,2.0,3.0,7.0,7.0,7.0,6.0,3.0,4.0,5.0
18,Alg. 13 es1 B50 N0.5,4.0,8.0,9.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,0.0,4.0,3.0,3.0,7.0,7.0,7.0,6.0,5.0,3.0,5.0
19,Alg. 11 es1 B100 N1.0,2.0,5.0,5.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
20,Alg. 11 es1 B10 N1.0,3.0,9.0,9.0,9.0,2.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,6.0,0.0,2.0,6.0,6.0,6.0,6.0,2.0,3.0,5.0
21,Alg. 11 es1 B50 N0.5,3.0,8.0,9.0,9.0,3.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,7.0,3.0,0.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0
22,Alg. 10 es1 B100 N1.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,3.0,0.0,1.0,2.0,6.0,3.0,3.0,2.0
23,Alg. 10 es1 B10 N1.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,3.0,6.0,0.0,7.0,6.0,3.0,3.0,3.0
24,Alg. 10 es1 B50 N0.5,3.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,3.0,4.0,1.0,0.0,6.0,3.0,3.0,3.0
25,Alg. 9 es1 B100 N1.0,1.0,5.0,5.0,5.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,0.0,1.0,2.0,2.0
26,Alg. 9 es1 B10 N1.0,3.0,9.0,9.0,9.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,2.0,2.0,6.0,6.0,6.0,7.0,0.0,2.0,5.0
27,Alg. 9 es1 B50 N0.5,1.0,7.0,8.0,8.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,6.0,6.0,6.0,6.0,2.0,0.0,5.0
28,bagging,4.0,8.0,8.0,8.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,7.0,4.0,3.0,7.0,6.0,7.0,7.0,4.0,4.0,0.0
