,id,task,framework,constraint,fold,result,metric,mode,version,params,tag,utc,duration,models,seed,info,acc
0,openml.org/t/146818,Australian,AutoPyTorch_refactor,3600s8c32G,0,0.884058,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-05T16:26:25,3665.2,0,332497844,,0.884058
0,openml.org/t/XX,adult,AutoPyTorch_refactor,3600s8c32G,0,0.8693961105,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.8693961105
1,openml.org/t/146818,Australian,AutoPyTorch_refactor,3600s8c32G,1,0.8550719999999999,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-05T16:26:23,3663.3,0,3286992093,,0.8550719999999999
1,openml.org/t/XX,adult,AutoPyTorch_refactor,3600s8c32G,1,0.8753326509999999,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.8753326509999999
10,openml.org/t/10101,blood-transfusion,AutoPyTorch_refactor,3600s8c32G,0,0.746667,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-05T16:27:33,3667.1,0,1132518628,,0.746667
10,openml.org/t/XX,Amazon_employee_access,AutoPyTorch_refactor,3600s8c32G,0,0.9447665548,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9447665548
100,openml.org/t/3,kr-vs-kp,AutoPyTorch_refactor,3600s8c32G,5,1.0,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-05T16:33:12,3683.8,0,1062291690,,1.0
100,openml.org/t/XX,jungle_chess_2pcs_raw_endgame_complete,AutoPyTorch_refactor,3600s8c32G,7,0.8634538153,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.8634538153
101,openml.org/t/XX,jungle_chess_2pcs_raw_endgame_complete,AutoPyTorch_refactor,3600s8c32G,8,0.8821954485,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.8821954485
101,openml.org/t/XX,kr-vs-kp,AutoPyTorch_refactor,3600s8c32G,6,0.9905956113,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9905956113
102,openml.org/t/XX,jungle_chess_2pcs_raw_endgame_complete,AutoPyTorch_refactor,3600s8c32G,9,0.871457264,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.871457264
102,openml.org/t/XX,kr-vs-kp,AutoPyTorch_refactor,3600s8c32G,7,0.9937304075,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9937304075
103,openml.org/t/3945,KDDCup09_appetency,AutoPyTorch_refactor,3600s8c32G,1,0.9822,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T16:02:56,3664.3,0,3801612857,,0.9822
103,openml.org/t/XX,kr-vs-kp,AutoPyTorch_refactor,3600s8c32G,8,0.9905956113,acc,singularity,refactor_development,debug,stable,2021-03-07T03:35:18,3663.4,0,3264102342,,0.9905956113
104,openml.org/t/3,kr-vs-kp,AutoPyTorch_refactor,3600s8c32G,9,0.996865,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-05T16:34:08,3688.3,0,1141991646,,0.996865
104,openml.org/t/3945,KDDCup09_appetency,AutoPyTorch_refactor,3600s8c32G,2,0.9822,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T16:03:18,3672.8,0,1047855271,,0.9822
105,openml.org/t/3945,KDDCup09_appetency,AutoPyTorch_refactor,3600s8c32G,3,0.9822,acc,singularity,refactor_development,{'_save_artifacts': ['debug']},stable,2021-03-07T16:03:37,3668.8,0,1242018800,,0.9822
